id,date,shelter_name,city,state,total_capacity,occupied_beds,available_beds,occupancy_rate,average_age,male_percentage,female_percentage,season,notes,day_of_week,month,is_holiday,temperature,rainfall_mm,area_population,staff_count,funding_level,food_availability_score,medical_facilities_available,children_count,senior_citizens_count,new_admissions,exits_today,emergency_cases,unemployment_rate,crime_rate,covid_cases_city,public_event_impact
127,04-07-2025,Daya Sagar,Chennai,TN,218,205,13,94.0,18,40,60,Monsoon,Needs maintenance,Friday,7,0,17.2,190.4,2787946,32,Low,3,0,13,23,8,4,6,3.6,2.2,21,1
128,02-08-2024,Jeevan Jyoti Shelter,Kolkata,WB,174,147,27,84.5,28,55,45,Monsoon,Normal,Friday,8,0,25.2,49.8,3798529,38,High,9,1,55,53,6,19,2,11.7,13.1,408,0
129,14-07-2024,Jeevan Jyoti Shelter,Kolkata,WB,249,193,56,77.5,56,49,51,Monsoon,High demand,Sunday,7,0,24.3,264.6,3608818,49,Medium,5,1,20,15,14,13,9,6.4,12.4,155,1
130,12-05-2024,Karuna Bhavan,Jaipur,RJ,122,76,46,62.3,26,42,58,Summer,Normal,Sunday,5,0,21.5,128.2,1499466,52,Low,2,1,45,29,27,14,7,5.2,1.5,117,0
131,06-09-2025,Daya Sagar,Delhi,DL,272,243,29,89.3,43,41,59,Monsoon,No issues reported,Saturday,9,0,33.1,48.7,1411236,51,Low,3,0,15,33,7,5,7,12.8,2.3,339,1
132,14-03-2025,Navjeevan Griha,Delhi,DL,187,96,91,51.3,51,52,48,Summer,No issues reported,Friday,3,0,27.4,3.8,2138062,29,Low,9,1,15,0,18,3,5,13.2,1.7,422,1
133,09-03-2025,Manav Seva Sangam,Mumbai,MH,112,75,37,67.0,38,48,52,Summer,High demand,Sunday,3,0,17.0,167.9,2406632,14,Low,7,0,28,23,10,7,3,14.3,5.7,450,0
134,29-09-2024,Asha Deep Shelter,Delhi,DL,108,96,12,88.9,57,50,50,Monsoon,Excellent condition,Sunday,9,0,20.5,158.2,1884907,18,Medium,2,1,7,23,4,18,4,10.6,8.1,388,1
135,23-04-2024,Daya Sagar,Mumbai,MH,102,70,32,68.6,35,44,56,Summer,Needs maintenance,Tuesday,4,1,32.1,215.8,3911774,46,High,9,1,2,8,1,4,1,16.4,8.5,192,0
136,11-12-2023,Asha Deep Shelter,Kolkata,WB,271,216,55,79.7,41,46,54,Winter,No issues reported,Monday,12,0,16.9,267.1,3683795,50,Medium,4,0,18,21,9,12,5,17.0,4.7,398,0
137,14-01-2025,Karuna Bhavan,Ahmedabad,GJ,89,64,25,71.9,41,41,59,Winter,Needs maintenance,Tuesday,1,0,36.3,23.8,3527084,34,Low,9,1,65,11,15,15,2,15.1,13.8,345,0
138,17-05-2024,Premalaya Home,Chennai,TN,84,44,40,52.4,49,51,49,Summer,Excellent condition,Friday,5,0,27.4,219.4,4377802,59,Medium,2,0,78,16,22,0,5,12.5,6.2,194,0
139,15-06-2024,Sahara Vikas Kendra,Kolkata,WB,123,115,8,93.5,20,41,59,Monsoon,High demand,Saturday,6,0,27.0,56.2,3449752,45,Low,4,1,73,24,12,12,4,7.6,1.6,167,0
140,15-07-2025,Daya Sagar,Ahmedabad,GJ,292,240,52,82.2,34,43,57,Monsoon,Needs maintenance,Tuesday,7,1,29.8,257.5,3850986,29,High,5,0,21,27,7,10,1,17.7,5.2,376,0
141,04-05-2025,Jeevan Jyoti Shelter,Hyderabad,TS,254,172,82,67.7,51,60,40,Summer,Excellent condition,Sunday,5,1,35.6,245.7,773858,18,High,2,1,45,14,8,7,4,7.1,8.4,488,0
142,29-11-2024,Apna Ghar Ashram,Jaipur,RJ,210,181,29,86.2,26,55,45,Autumn,New admissions pending,Friday,11,0,23.7,162.2,2868907,39,High,1,1,12,29,10,7,4,6.0,6.7,238,1
143,08-02-2024,Premalaya Home,Chennai,TN,98,90,8,91.8,24,58,42,Winter,High demand,Thursday,2,0,32.0,213.1,94816,56,Low,7,1,32,50,10,13,8,9.6,4.8,361,0
144,20-04-2025,Sahara Vikas Kendra,Ahmedabad,GJ,90,53,37,58.9,44,56,44,Summer,High demand,Sunday,4,0,29.1,94.3,54138,52,Medium,1,0,4,26,22,12,7,3.9,2.8,481,0
145,26-09-2023,Asha Deep Shelter,Hyderabad,TS,250,215,35,86.0,23,53,47,Monsoon,High demand,Tuesday,9,0,21.7,141.4,4213960,38,High,8,0,76,21,25,2,6,17.7,12.5,243,1
146,05-04-2024,Jeevan Jyoti Shelter,Chennai,TN,162,94,68,58.0,39,58,42,Summer,Needs maintenance,Friday,4,0,37.0,246.5,3286904,14,Low,3,0,26,9,15,3,2,11.8,14.9,68,1
147,18-10-2024,Manav Seva Sangam,Surat,GJ,59,38,21,64.4,55,58,42,Autumn,Needs maintenance,Friday,10,0,34.9,137.8,3914044,39,Low,6,1,77,57,9,19,9,11.4,5.6,94,0
148,10-10-2023,Asha Deep Shelter,Delhi,DL,288,234,54,81.2,60,48,52,Autumn,Needs maintenance,Tuesday,10,0,31.5,107.3,271552,15,Medium,7,0,23,30,28,14,3,12.8,6.3,498,0
149,31-03-2024,Jeevan Jyoti Shelter,Pune,MH,137,90,47,65.7,44,50,50,Summer,Excellent condition,Sunday,3,0,36.3,148.3,93764,15,High,1,0,66,26,23,14,5,10.5,9.7,76,0
150,18-01-2025,Jeevan Jyoti Shelter,Mumbai,MH,258,186,72,72.1,59,50,50,Winter,High demand,Saturday,1,0,36.7,248.5,2270182,25,Low,6,0,62,11,11,12,2,3.5,11.1,170,1
151,22-12-2024,Karuna Bhavan,Pune,MH,76,68,8,89.5,61,60,40,Winter,Excellent condition,Sunday,12,1,32.7,100.6,1947951,25,Medium,7,0,47,45,24,8,8,12.2,6.5,0,0
152,21-11-2023,Daya Sagar,Delhi,DL,80,56,24,70.0,24,58,42,Autumn,Needs maintenance,Tuesday,11,0,35.9,52.1,366462,26,High,6,0,62,30,5,9,7,13.7,13.7,405,1
153,23-03-2025,Asha Deep Shelter,Surat,GJ,118,81,37,68.6,30,51,49,Summer,No issues reported,Sunday,3,0,32.4,213.6,939855,49,Medium,4,0,77,31,27,11,5,9.3,8.8,61,0
154,13-09-2025,Umeed Ki Kiran,Bangalore,KA,289,230,59,79.6,26,45,55,Monsoon,Needs maintenance,Saturday,9,0,32.0,247.8,1464718,11,Medium,1,0,11,31,11,13,3,14.4,7.3,206,0
155,21-06-2024,Sahara Vikas Kendra,Bangalore,KA,166,165,1,99.4,47,57,43,Monsoon,High demand,Friday,6,1,30.5,30.2,2207280,59,Low,9,0,27,40,9,0,6,6.4,10.1,153,1
156,23-11-2024,Manav Seva Sangam,Jaipur,RJ,121,75,46,62.0,62,47,53,Autumn,New admissions pending,Saturday,11,0,33.8,72.0,858301,21,Low,4,0,43,58,17,13,2,6.3,14.3,273,0
157,17-04-2025,Asha Deep Shelter,Jaipur,RJ,219,164,55,74.9,23,53,47,Summer,Excellent condition,Thursday,4,0,19.0,42.6,4230266,6,Low,7,0,42,44,17,13,9,5.4,12.1,47,0
158,31-03-2024,Navjeevan Griha,Delhi,DL,74,41,33,55.4,20,48,52,Summer,Excellent condition,Sunday,3,0,37.0,104.4,4396657,16,Medium,7,1,16,34,3,7,7,8.6,1.6,136,0
159,23-02-2024,Manav Seva Sangam,Bangalore,KA,154,141,13,91.6,21,43,57,Winter,New admissions pending,Friday,2,0,36.8,135.1,162935,46,Low,2,1,39,52,8,15,0,15.7,5.7,0,1
160,10-05-2025,Apna Ghar Ashram,Chennai,TN,153,108,45,70.6,50,41,59,Summer,New admissions pending,Saturday,5,0,15.7,224.6,4101889,22,Medium,1,0,48,45,6,13,2,15.4,7.6,234,0
161,30-05-2025,Manav Seva Sangam,Jaipur,RJ,191,126,65,66.0,24,60,40,Summer,Needs maintenance,Friday,5,0,35.6,195.3,1388306,58,Medium,8,1,56,20,17,0,4,8.7,5.4,392,0
162,24-03-2024,Manav Seva Sangam,Jaipur,RJ,132,83,49,62.9,38,48,52,Summer,New admissions pending,Sunday,3,0,18.2,186.3,2200205,15,Low,8,1,63,9,7,15,4,11.8,10.8,255,1
163,31-05-2025,Karuna Bhavan,Jaipur,RJ,245,193,52,78.8,26,57,43,Summer,Needs maintenance,Saturday,5,0,23.4,105.7,4330650,20,High,7,0,74,15,10,17,9,13.8,12.6,406,1
164,22-12-2023,Apna Ghar Ashram,Kolkata,WB,264,239,25,90.5,53,47,53,Winter,Needs maintenance,Friday,12,0,33.6,252.4,4573535,53,High,8,0,56,6,6,6,1,6.6,11.2,106,0
165,13-02-2024,Daya Sagar,Mumbai,MH,159,112,47,70.4,32,60,40,Winter,Normal,Tuesday,2,0,19.0,141.4,4650145,55,High,3,0,73,3,8,14,9,5.5,14.9,172,0
166,31-05-2025,Asha Deep Shelter,Delhi,DL,243,122,121,50.2,65,59,41,Summer,High demand,Saturday,5,0,35.4,293.7,4802989,22,Medium,2,1,73,26,7,16,7,17.6,4.8,129,1
167,12-02-2025,Umeed Ki Kiran,Bangalore,KA,51,48,3,94.1,48,41,59,Winter,New admissions pending,Wednesday,2,0,35.8,190.2,1419391,39,Medium,7,0,69,51,2,18,4,12.3,13.2,397,0
168,09-11-2023,Manav Seva Sangam,Chennai,TN,86,69,17,80.2,25,49,51,Autumn,New admissions pending,Thursday,11,0,27.7,37.9,4360518,57,Medium,8,1,75,54,16,12,6,17.7,11.7,293,0
169,23-09-2024,Asha Deep Shelter,Chennai,TN,217,197,20,90.8,24,53,47,Monsoon,No issues reported,Monday,9,0,15.2,202.9,2632153,30,Low,1,0,42,24,1,8,6,8.1,6.1,39,1
170,04-10-2023,Daya Sagar,Mumbai,MH,83,59,24,71.1,59,60,40,Autumn,Needs maintenance,Wednesday,10,0,22.2,97.5,903329,20,Medium,9,1,22,30,14,14,4,13.5,11.3,446,0
171,03-10-2023,Jeevan Jyoti Shelter,Chennai,TN,67,45,22,67.2,48,60,40,Autumn,Needs maintenance,Tuesday,10,0,30.4,205.9,1780085,10,Low,4,1,26,10,13,2,7,6.3,2.5,337,0
172,07-05-2024,Premalaya Home,Ahmedabad,GJ,114,79,35,69.3,63,43,57,Summer,Excellent condition,Tuesday,5,0,39.5,20.9,2076110,48,Low,4,0,57,47,28,0,8,6.9,12.1,15,1
173,21-06-2025,Premalaya Home,Chennai,TN,111,102,9,91.9,37,56,44,Monsoon,New admissions pending,Saturday,6,0,30.8,52.5,3134562,47,High,3,0,36,19,17,15,3,10.7,8.5,126,0
174,12-05-2025,Jeevan Jyoti Shelter,Kolkata,WB,75,58,17,77.3,66,60,40,Summer,Normal,Monday,5,0,21.5,256.7,4645130,51,High,6,1,5,35,15,7,3,7.8,5.1,372,0
175,19-07-2024,Daya Sagar,Mumbai,MH,159,130,29,81.8,26,55,45,Monsoon,New admissions pending,Friday,7,0,30.9,68.2,486542,51,High,1,1,64,53,19,12,7,5.5,10.2,348,0
176,07-07-2024,Asha Deep Shelter,Jaipur,RJ,117,93,24,79.5,26,54,46,Monsoon,New admissions pending,Sunday,7,0,28.5,251.1,4616701,52,Low,6,0,5,53,21,7,0,6.9,10.0,491,1
177,10-06-2024,Karuna Bhavan,Delhi,DL,274,215,59,78.5,34,40,60,Monsoon,Normal,Monday,6,0,34.5,83.8,4189394,46,Low,2,0,49,54,3,16,3,3.5,3.9,202,0
178,15-12-2023,Umeed Ki Kiran,Surat,GJ,67,60,7,89.6,48,52,48,Winter,Needs maintenance,Friday,12,0,17.7,192.9,3030672,16,Low,9,1,21,16,24,13,5,13.6,1.4,133,1
179,25-12-2024,Karuna Bhavan,Ahmedabad,GJ,63,54,9,85.7,64,51,49,Winter,High demand,Wednesday,12,1,34.0,208.2,2112087,17,Medium,2,0,24,44,19,6,3,10.4,7.1,258,1
180,16-04-2024,Karuna Bhavan,Hyderabad,TS,120,68,52,56.7,38,41,59,Summer,No issues reported,Tuesday,4,0,28.5,153.8,476674,8,Low,7,1,78,10,5,14,5,4.4,9.0,13,0
181,24-04-2024,Jeevan Jyoti Shelter,Hyderabad,TS,56,31,25,55.4,20,46,54,Summer,High demand,Wednesday,4,0,39.1,91.6,132409,43,High,1,0,71,29,5,15,4,5.6,13.3,65,1
182,29-07-2025,Sahara Vikas Kendra,Surat,GJ,118,112,6,94.9,52,60,40,Monsoon,Excellent condition,Tuesday,7,0,23.5,63.8,3678104,58,High,7,0,50,34,25,18,8,4.5,14.0,479,0
183,18-05-2024,Jeevan Jyoti Shelter,Hyderabad,TS,58,36,22,62.1,20,46,54,Summer,High demand,Saturday,5,1,30.8,10.0,4943180,6,Low,5,0,47,40,10,5,9,12.2,8.4,350,0
184,18-08-2024,Daya Sagar,Chennai,TN,273,220,53,80.6,26,59,41,Monsoon,Needs maintenance,Sunday,8,0,38.3,91.2,2045141,30,Low,8,1,69,37,25,0,8,4.4,11.6,458,0
185,27-11-2023,Jeevan Jyoti Shelter,Jaipur,RJ,72,49,23,68.1,34,48,52,Autumn,High demand,Monday,11,0,17.6,195.9,3875258,31,High,4,0,64,21,16,11,3,14.3,7.2,341,1
186,09-09-2024,Manav Seva Sangam,Surat,GJ,74,69,5,93.2,45,49,51,Monsoon,High demand,Monday,9,0,38.4,281.5,3549701,31,Low,7,1,59,52,23,17,3,3.3,11.4,194,0
187,30-05-2024,Navjeevan Griha,Ahmedabad,GJ,118,84,34,71.2,62,46,54,Summer,Normal,Thursday,5,0,32.2,261.4,1977716,19,High,6,0,45,42,27,15,7,6.7,3.9,113,0
188,25-01-2025,Jeevan Jyoti Shelter,Delhi,DL,129,84,45,65.1,44,58,42,Winter,No issues reported,Saturday,1,0,16.7,229.8,1971672,12,Medium,5,1,35,47,2,11,9,16.4,6.2,158,0
189,18-03-2024,Daya Sagar,Delhi,DL,272,179,93,65.8,37,58,42,Summer,Needs maintenance,Monday,3,0,22.5,236.5,1242503,11,High,4,1,57,50,12,19,3,13.8,9.9,160,1
190,13-04-2025,Navjeevan Griha,Jaipur,RJ,62,34,28,54.8,69,43,57,Summer,Excellent condition,Sunday,4,0,32.7,199.5,1183754,51,Medium,7,0,75,26,21,12,1,4.1,1.3,253,1
191,01-07-2025,Premalaya Home,Chennai,TN,272,223,49,82.0,49,52,48,Monsoon,Needs maintenance,Tuesday,7,0,16.7,78.1,2953609,59,Low,5,1,37,36,2,7,1,15.3,11.1,471,0
192,01-12-2023,Sahara Vikas Kendra,Pune,MH,289,232,57,80.3,51,52,48,Winter,Excellent condition,Friday,12,0,29.6,272.2,1496250,50,Low,5,1,10,45,15,0,0,10.4,12.7,384,0
193,17-09-2024,Asha Deep Shelter,Surat,GJ,65,49,16,75.4,24,42,58,Monsoon,Normal,Tuesday,9,1,23.6,201.2,1693707,44,Medium,1,1,11,48,14,6,4,15.7,6.6,427,0
194,20-05-2025,Apna Ghar Ashram,Surat,GJ,150,110,40,73.3,35,43,57,Summer,Excellent condition,Tuesday,5,0,30.5,168.1,4943091,16,Low,2,1,41,34,10,14,5,12.0,7.3,14,0
195,01-03-2025,Navjeevan Griha,Chennai,TN,175,121,54,69.1,31,60,40,Summer,Needs maintenance,Saturday,3,0,16.1,33.3,3850315,17,Medium,5,0,38,3,17,12,8,13.2,12.9,36,1
196,20-10-2023,Navjeevan Griha,Chennai,TN,145,110,35,75.9,31,57,43,Autumn,Excellent condition,Friday,10,0,36.8,134.1,3201396,47,Low,3,0,70,15,14,12,4,17.9,11.9,154,1
197,05-05-2024,Daya Sagar,Jaipur,RJ,276,171,105,62.0,20,49,51,Summer,Excellent condition,Sunday,5,0,39.3,138.1,3418270,21,High,2,0,10,15,4,8,5,6.5,5.0,485,1
198,30-07-2025,Umeed Ki Kiran,Kolkata,WB,85,60,25,70.6,20,59,41,Monsoon,New admissions pending,Wednesday,7,0,39.2,259.4,2302641,21,Low,4,1,35,20,15,14,5,12.4,5.5,431,1
199,25-10-2024,Navjeevan Griha,Pune,MH,218,130,88,59.6,19,46,54,Autumn,Excellent condition,Friday,10,0,33.7,164.0,394126,40,High,4,1,51,25,29,3,2,9.9,10.5,26,1
200,24-05-2025,Navjeevan Griha,Bangalore,KA,208,114,94,54.8,65,46,54,Summer,No issues reported,Saturday,5,0,18.3,114.1,2455514,25,High,4,0,30,56,15,12,3,3.6,8.9,491,1
201,29-04-2024,Daya Sagar,Jaipur,RJ,254,201,53,79.1,32,45,55,Summer,Needs maintenance,Monday,4,0,34.0,293.0,1892360,12,Medium,4,0,32,35,16,11,0,3.2,3.3,11,1
202,01-09-2025,Karuna Bhavan,Mumbai,MH,143,120,23,83.9,41,55,45,Monsoon,Needs maintenance,Monday,9,0,15.6,33.2,1187411,9,Low,3,1,12,18,8,4,3,4.8,5.3,66,0
203,16-02-2025,Asha Deep Shelter,Ahmedabad,GJ,182,140,42,76.9,54,43,57,Winter,No issues reported,Sunday,2,0,15.6,126.8,1720357,30,Medium,7,0,17,57,26,6,0,12.7,13.6,29,0
204,23-11-2023,Asha Deep Shelter,Hyderabad,TS,114,89,25,78.1,45,60,40,Autumn,No issues reported,Thursday,11,0,23.1,12.6,2962511,20,Low,9,0,40,16,22,7,4,11.5,10.6,95,0
205,07-09-2025,Karuna Bhavan,Kolkata,WB,143,115,28,80.4,50,56,44,Monsoon,High demand,Sunday,9,0,27.2,222.0,3380922,40,High,5,1,57,44,2,4,7,11.3,14.8,214,0
206,29-03-2024,Jeevan Jyoti Shelter,Surat,GJ,246,193,53,78.5,59,57,43,Summer,Needs maintenance,Friday,3,0,34.3,275.4,3749509,32,High,4,0,55,25,19,8,7,3.5,11.7,193,0
207,16-02-2025,Umeed Ki Kiran,Ahmedabad,GJ,104,88,16,84.6,66,55,45,Winter,No issues reported,Sunday,2,0,32.1,84.0,4205479,58,Low,2,1,23,21,12,13,4,10.0,14.2,134,0
208,07-09-2024,Karuna Bhavan,Delhi,DL,278,259,19,93.2,31,44,56,Monsoon,Needs maintenance,Saturday,9,0,26.1,257.5,4538155,33,Low,2,0,72,54,21,11,9,16.9,4.0,289,1
209,02-01-2024,Navjeevan Griha,Bangalore,KA,240,207,33,86.2,67,44,56,Winter,Excellent condition,Tuesday,1,0,21.8,87.7,3352198,51,Medium,5,1,30,57,2,3,1,9.0,11.8,31,0
210,28-07-2025,Apna Ghar Ashram,Ahmedabad,GJ,252,226,26,89.7,47,60,40,Monsoon,Needs maintenance,Monday,7,0,39.9,273.2,347986,16,Low,7,1,54,55,27,19,5,12.4,1.3,372,1
211,28-04-2025,Umeed Ki Kiran,Hyderabad,TS,204,140,64,68.6,38,60,40,Summer,Excellent condition,Monday,4,0,25.7,226.2,3816001,41,Low,9,1,9,27,6,7,0,14.7,10.4,38,0
212,06-02-2025,Apna Ghar Ashram,Jaipur,RJ,121,81,40,66.9,42,57,43,Winter,High demand,Thursday,2,0,26.3,241.5,2515912,34,Low,7,1,59,0,28,16,6,14.8,7.6,351,1
213,28-07-2025,Karuna Bhavan,Jaipur,RJ,162,115,47,71.0,61,60,40,Monsoon,New admissions pending,Monday,7,0,19.1,5.4,2072784,27,Medium,5,1,1,43,5,7,3,10.8,5.9,426,1
214,30-01-2024,Umeed Ki Kiran,Delhi,DL,207,152,55,73.4,30,40,60,Winter,High demand,Tuesday,1,0,34.9,288.8,903605,20,Low,6,0,14,35,8,0,4,15.9,13.1,426,0
215,07-06-2025,Umeed Ki Kiran,Pune,MH,224,157,67,70.1,26,53,47,Monsoon,Excellent condition,Saturday,6,0,32.3,218.0,2422948,18,High,3,0,2,42,11,19,5,8.9,13.0,205,0
216,24-07-2025,Karuna Bhavan,Jaipur,RJ,259,248,11,95.8,49,46,54,Monsoon,Needs maintenance,Thursday,7,0,20.5,91.4,1365823,14,Medium,5,0,42,36,14,1,0,16.3,1.3,386,0
217,07-06-2025,Sahara Vikas Kendra,Chennai,TN,104,82,22,78.8,18,47,53,Monsoon,Excellent condition,Saturday,6,0,17.1,248.8,3483372,11,Medium,8,1,30,1,20,3,8,6.6,9.5,429,0
218,25-11-2023,Umeed Ki Kiran,Mumbai,MH,123,74,49,60.2,49,59,41,Autumn,Needs maintenance,Saturday,11,0,32.0,84.5,820692,49,High,1,0,69,16,19,0,9,7.2,6.1,415,0
219,29-06-2024,Premalaya Home,Chennai,TN,226,204,22,90.3,68,47,53,Monsoon,High demand,Saturday,6,0,31.4,261.8,478745,56,High,1,1,66,39,2,6,3,3.8,6.8,42,1
220,12-01-2024,Navjeevan Griha,Delhi,DL,213,169,44,79.3,47,48,52,Winter,High demand,Friday,1,0,21.8,33.8,4882091,41,High,7,1,55,37,9,0,7,14.9,12.6,483,0
221,09-06-2025,Asha Deep Shelter,Kolkata,WB,94,87,7,92.6,49,41,59,Monsoon,Needs maintenance,Monday,6,0,38.8,211.1,723812,33,Low,5,0,62,20,0,8,4,9.3,5.3,336,1
222,20-11-2023,Navjeevan Griha,Jaipur,RJ,56,42,14,75.0,40,43,57,Autumn,No issues reported,Monday,11,0,18.8,162.2,2982977,7,High,5,1,74,8,18,2,7,6.4,14.2,495,1
223,14-04-2025,Daya Sagar,Chennai,TN,53,40,13,75.5,54,54,46,Summer,New admissions pending,Monday,4,0,25.8,29.0,3620118,19,Low,1,0,14,12,18,11,0,6.5,3.5,258,1
224,06-09-2024,Daya Sagar,Chennai,TN,74,55,19,74.3,22,51,49,Monsoon,Needs maintenance,Friday,9,0,38.6,72.6,1408126,40,Medium,9,1,9,10,22,18,7,16.5,10.3,248,0
225,06-07-2024,Karuna Bhavan,Bangalore,KA,288,215,73,74.7,33,56,44,Monsoon,Needs maintenance,Saturday,7,0,25.5,3.7,3867042,51,Medium,1,1,37,15,22,14,3,15.5,10.4,73,0
226,05-06-2025,Premalaya Home,Pune,MH,76,57,19,75.0,68,46,54,Monsoon,No issues reported,Thursday,6,0,31.0,140.6,4589170,50,High,5,0,46,15,12,15,1,11.3,4.5,372,0
227,09-11-2024,Jeevan Jyoti Shelter,Pune,MH,229,194,35,84.7,54,58,42,Autumn,New admissions pending,Saturday,11,1,24.9,90.4,586644,56,Low,9,1,56,58,11,9,5,12.2,5.5,318,0
228,27-01-2025,Daya Sagar,Ahmedabad,GJ,285,228,57,80.0,53,51,49,Winter,High demand,Monday,1,0,21.9,179.5,702416,23,High,4,0,49,1,0,5,1,10.1,12.7,366,0
229,22-10-2023,Sahara Vikas Kendra,Ahmedabad,GJ,75,47,28,62.7,59,54,46,Autumn,New admissions pending,Sunday,10,0,39.6,89.2,3197915,17,High,8,1,70,41,18,16,4,8.9,11.7,295,0
230,10-02-2024,Manav Seva Sangam,Surat,GJ,146,95,51,65.1,42,59,41,Winter,Needs maintenance,Saturday,2,0,25.2,90.0,2823737,46,Low,6,0,14,43,28,16,1,16.7,5.6,273,1
231,04-03-2024,Premalaya Home,Chennai,TN,142,101,41,71.1,29,45,55,Summer,Excellent condition,Monday,3,0,37.4,223.0,1757542,25,High,3,1,17,7,23,18,2,4.9,8.5,322,0
232,05-09-2025,Manav Seva Sangam,Chennai,TN,141,102,39,72.3,34,40,60,Monsoon,Needs maintenance,Friday,9,0,20.7,14.4,4241896,41,Medium,4,0,1,42,15,17,5,9.3,1.9,358,1
233,28-08-2025,Jeevan Jyoti Shelter,Mumbai,MH,133,114,19,85.7,33,56,44,Monsoon,Needs maintenance,Thursday,8,0,20.3,270.9,1524620,31,High,2,0,42,41,24,10,0,8.2,3.9,189,1
234,15-08-2025,Karuna Bhavan,Mumbai,MH,298,209,89,70.1,29,42,58,Monsoon,High demand,Friday,8,0,15.8,255.7,1224846,59,Low,1,1,25,12,22,6,5,10.5,7.8,137,0
235,03-01-2024,Jeevan Jyoti Shelter,Kolkata,WB,213,141,72,66.2,27,52,48,Winter,Excellent condition,Wednesday,1,0,31.3,200.3,2042569,56,Low,8,0,70,56,22,9,2,9.9,2.2,435,0
236,20-03-2025,Umeed Ki Kiran,Mumbai,MH,71,43,28,60.6,23,51,49,Summer,Normal,Thursday,3,0,24.2,178.0,1899395,33,Medium,1,1,37,16,27,6,6,10.8,12.8,456,0
237,03-04-2024,Umeed Ki Kiran,Pune,MH,238,182,56,76.5,27,58,42,Summer,Needs maintenance,Wednesday,4,0,36.6,267.7,1039336,24,Low,1,1,41,38,14,4,1,5.1,11.1,301,0
238,10-05-2025,Apna Ghar Ashram,Mumbai,MH,131,91,40,69.5,28,46,54,Summer,Normal,Saturday,5,0,26.8,55.6,3188102,29,Low,4,0,4,23,15,11,5,10.7,14.2,310,0
239,04-11-2023,Apna Ghar Ashram,Mumbai,MH,81,63,18,77.8,67,44,56,Autumn,High demand,Saturday,11,0,39.2,23.7,2500979,10,Medium,6,0,10,2,10,15,7,6.6,10.7,429,0
240,01-08-2025,Sahara Vikas Kendra,Hyderabad,TS,127,104,23,81.9,23,58,42,Monsoon,Needs maintenance,Friday,8,0,19.6,71.9,3955513,40,High,9,0,64,29,23,17,0,5.8,14.2,330,1
241,13-08-2025,Daya Sagar,Chennai,TN,252,240,12,95.2,18,58,42,Monsoon,New admissions pending,Wednesday,8,1,36.7,238.4,2082816,6,Medium,1,0,33,51,5,2,8,4.0,8.8,443,1
242,24-01-2024,Daya Sagar,Bangalore,KA,161,117,44,72.7,26,49,51,Winter,Normal,Wednesday,1,1,34.4,10.4,111753,26,High,7,0,0,12,10,19,4,14.4,9.4,352,1
243,30-03-2024,Navjeevan Griha,Chennai,TN,288,223,65,77.4,65,53,47,Summer,New admissions pending,Saturday,3,1,34.3,174.8,1121984,36,Medium,5,1,1,18,2,14,4,9.4,14.7,483,1
244,21-08-2025,Umeed Ki Kiran,Hyderabad,TS,166,162,4,97.6,46,52,48,Monsoon,Excellent condition,Thursday,8,0,36.1,298.6,4368420,20,High,8,0,19,6,14,4,4,12.4,10.0,281,1
245,14-09-2025,Navjeevan Griha,Surat,GJ,219,162,57,74.0,64,59,41,Monsoon,High demand,Sunday,9,0,34.0,256.7,705496,22,Medium,7,1,60,8,0,12,5,13.9,1.4,410,1
246,26-12-2024,Premalaya Home,Kolkata,WB,63,41,22,65.1,29,55,45,Winter,Needs maintenance,Thursday,12,1,30.7,156.4,2785090,9,High,4,0,20,18,6,18,1,13.2,11.1,165,0
247,17-07-2024,Manav Seva Sangam,Delhi,DL,124,123,1,99.2,60,53,47,Monsoon,High demand,Wednesday,7,0,18.3,19.1,3255228,58,Medium,4,0,67,44,0,11,5,10.1,13.7,277,0
248,08-01-2024,Sahara Vikas Kendra,Mumbai,MH,188,159,29,84.6,37,55,45,Winter,Needs maintenance,Monday,1,1,15.8,249.4,2213349,40,High,6,0,11,53,16,4,3,8.8,12.1,25,0
249,07-07-2025,Sahara Vikas Kendra,Surat,GJ,104,88,16,84.6,37,44,56,Monsoon,High demand,Monday,7,1,38.0,179.7,543992,34,Medium,6,1,21,39,8,5,7,8.6,9.2,469,1
250,12-01-2024,Apna Ghar Ashram,Pune,MH,69,64,5,92.8,67,57,43,Winter,New admissions pending,Friday,1,0,30.4,34.5,126240,49,Low,9,0,19,21,28,6,8,12.6,10.4,452,1
251,31-08-2024,Asha Deep Shelter,Kolkata,WB,209,171,38,81.8,33,54,46,Monsoon,No issues reported,Saturday,8,0,34.9,28.2,4479899,23,High,5,1,0,17,25,9,8,10.4,14.9,418,1
252,11-12-2023,Umeed Ki Kiran,Hyderabad,TS,167,127,40,76.0,23,46,54,Winter,New admissions pending,Monday,12,0,27.0,272.9,3941151,27,Medium,8,1,29,22,22,15,7,15.7,2.3,449,0
253,10-08-2025,Manav Seva Sangam,Pune,MH,292,281,11,96.2,32,47,53,Monsoon,Normal,Sunday,8,0,17.9,200.8,1377042,38,High,5,1,23,1,12,7,2,16.1,10.3,482,0
254,04-08-2024,Jeevan Jyoti Shelter,Delhi,DL,154,109,45,70.8,31,40,60,Monsoon,New admissions pending,Sunday,8,0,18.1,248.8,1998061,17,High,2,0,13,49,10,8,9,5.6,5.0,72,0
